Accessori e moda,COSMETICS
Overnatning,HOTEL
Logibranschen,HOTEL
Contabilitate,ACCOUNTING
Akuntansi,ACCOUNTING
Buchhaltung,ACCOUNTING
Contabilidad,ACCOUNTING
Contabilidade,ACCOUNTING
Contabilit,ACCOUNTING
Muhasebe,ACCOUNTING
Perakaunan,ACCOUNTING
Regnskap,ACCOUNTING
Regnskab,ACCOUNTING
Administraie,SERVICE
Administrasi Pemerintahan,SERVICE
Administrao agrcola,SERVICE
Administrasi Eksekutif,SERVICE
Administrao de servios,SERVICE
Administracja rzdowa,SERVICE
Administraie studii,SERVICE
ADR Metodo alternativo di risoluzione delle controversie,LEGAL
Advokatpraksis,LEGAL
Linii aerieneAviaie,AVIATION
Aronautique et arospatiale,AEROSPACE
AeronuticaAviacin,AVIATION
Luchtvaart en ruimtevaart,AEROSPACE
Industria aeroespacial y aviacin,AEROSPACE
Przemys lotniczy i kosmiczny,AEROSPACE
Agroalimentaire,AGRICULTURE
Jordbrug,AGRICULTURE
Activiti agricole,AGRICULTURE
Agricoltura,AGRICULTURE
Agricultura,AGRICULTURE
Landbouw,AGRICULTURE
Landwirtschaft,AGRICULTURE
Pertanian,AGRICULTURE
Rolnictwo,AGRICULTURE
Zemdlstv,AGRICULTURE
Jordbruksbranschen,AGRICULTURE
Luft og romfart,AEROSPACE
Luft og rumfart,AEROSPACE
Flygbolags och luftfartsbranschen,AVIATION
Luft Raumfahrt,AEROSPACE
Leteck doprava a leteck prmysl,AVIATION
Aviao e aeroespacial,AEROSPACE
Flyselskapluftfart,AVIATION
Fluggesellschaften,AVIATION
Linie lotnicze lotnictwo,AVIATION
Luftfartsselskaberluftfart,AVIATION
Maskapai PenerbanganAviasi,AVIATION
Alatalat dan Perlengkapan Bisnis,APPAREL_ACCESSORIES
AlatAlat Olahraga,SPORTS
Produtos alimentcios,PHARMACEUTICALS
Allmnmedicinbranschen,HEALTH_CARE
Resolusi Sengketa Alternatif,LEGAL
Alternatif htilaf zm,LEGAL
Alternativ konfliktlsning,LEGAL
Alternativa konfliktlsningsbranschen,LEGAL
Alternatieve geneeskunde,HEALTH_CARE
Alternativ medicin,HEALTH_CARE
Alternative Medizin,HEALTH_CARE
Medicina alternativa,HEALTH_CARE
Medycyna alternatywna,HEALTH_CARE
Pengobatan Alternatif,HEALTH_CARE
Perubatan Alternatif,HEALTH_CARE
Metode alternative de soluionare a disputelor,LEGAL
Rglement extrajudiciaire de conflits,LEGAL
Alternatywne rozwizywanie sporw,LEGAL
Alternativmedicinbranschen,HEALTH_CARE
Alternatif Tp,HEALTH_CARE
Alternativn een spor,SPORTS
Alternativn medicna,HEALTH_CARE
Zbavn prmysl,ENTERTAINMENT_LEISURE
eviri ve Yerelletirme,SERVICE
Djursjukvrdsbranschen,AGRICULTURE
Animace,MOTION_PICTURE_VIDEO
Animasi,MOTION_PICTURE_VIDEO
Animasjon,MOTION_PICTURE_VIDEO
Animasyon,MOTION_PICTURE_VIDEO
Animatie,MOTION_PICTURE_VIDEO
Animazione,MOTION_PICTURE_VIDEO
Animeringsbranschen,MOTION_PICTURE_VIDEO
Animacje,MOTION_PICTURE_VIDEO
Anlggningstjnstbranschen,MANUFACTURING
Ansttelser og rekruttering,HUMAN_RESOURCES
Confection et mode,APPAREL_ACCESSORIES
Industria textil y moda,APPAREL_ACCESSORIES
Roupas e moda,APPAREL_ACCESSORIES
Seni Bina Perancangan,ARCHITECTURE_DESIGN
Budownictwo,ARCHITECTURE_DESIGN
Architectuur en ruimtelijke ordening,ARCHITECTURE_DESIGN
Arkitektur och planeringsbranschen,ARCHITECTURE_DESIGN
Arkitektur og byplanlegging,ARCHITECTURE_DESIGN
Arquitetura e planejamento,ARCHITECTURE_DESIGN
Mimari ve Planlama,ARCHITECTURE_DESIGN
Architettura e progettazione,ARCHITECTURE_DESIGN
Arhitectur i proiectare,ARCHITECTURE_DESIGN
Arkitektur og planlgning,ARCHITECTURE_DESIGN
Arquitectura y planificacin,ARCHITECTURE_DESIGN
Architektura a plnovn,ARCHITECTURE_DESIGN
Architektura i planowanie przestrzeni,ARCHITECTURE_DESIGN
Architecture et urbanisme,ARCHITECTURE_DESIGN
Architektur Bauplanung,ARCHITECTURE_DESIGN
Arsitektur Perencanaan,ARCHITECTURE_DESIGN
Linhas areasAviao,AVIATION
Compagnie arienneAviation,AVIATION
Armat,DEFENSE
Wojsko,DEFENSE
Kunst,ARTS_CRAFTS
Kunst og hndverk,ARTS_CRAFTS
Sztuka pikna,ARTS_CRAFTS
Art teatral,ARTS_CRAFTS
Arte i meserii,ARTS_CRAFTS
Artes e artesanato,ARTS_CRAFTS
Arts et artisanat,ARTS_CRAFTS
Konst och hantverksbranschen,ARTS_CRAFTS
Seni dan Kerajinan,ARTS_CRAFTS
Seni dan Kraf,ARTS_CRAFTS
Kunst og hndvrk,ARTS_CRAFTS
Vermogensbeheer,SECURITIES_COMMODITY_EXCHANGES
Vermgensverwaltung,SECURITIES_COMMODITY_EXCHANGES
Atacado,DEFENSE
Atencin sanitaria y hospitalaria,HEALTH_CARE
Atencin a la salud mental,HEALTH_CARE
Autorsk a redaktorsk innost,NEWSPAPER_PUBLISHERS
Autoindustrie,AUTOMOTIVE
Automatyka przemysowa,AUTOMOTIVE
Automatizri industriale,AUTOMOTIVE
Auto,AUTOMOTIVE
Automobilov prmysl,AUTOMOTIVE
Automotif,AUTOMOTIVE
Motoryzacja,AUTOMOTIVE
Otomotif,AUTOMOTIVE
Otomotiv,AUTOMOTIVE
Settore automobilistico,AUTOMOTIVE
Fordonsbranschen,AUTOMOTIVE
Indstria automotiva,AUTOMOTIVE
Industrie automobile,AUTOMOTIVE
Online medie,INTERNET_PUBLISHING
Produo de mdia,MANUFACTURING
Aviaie i industria aerospaial,AEROSPACE
Luchtvaart luchtvaartmaatschappijen,AVIATION
Aviazione e aerospazio,AEROSPACE
Aviasi Penerbangan,AVIATION
Balkov a nkladn doprava,TRANSPORTATION
Banca,BANKING
Bankaclk,BANKING
Bankbranschen,BANKING
Actividades bancarias,BANKING
Bankovnictv,BANKING
Bankowo,BANKING
Bankvirksomhet,BANKING
Bankwesen,BANKING
Bankwezen,BANKING
Perbankan,BANKING
Settore bancario,BANKING
Bancos,BANKING
Banques,BANKING
Banques dinvestissement,BANKING
Grund Sekundarschulwesen,EDUCATION
Grundungdomsuddannelse,EDUCATION
Bas och vidareutbildningsbranschen,EDUCATION
Ba Toplama,ENTERTAINMENT_LEISURE
Lagerbranschen,MANUFACTURING
Mandra,COSMETICS
Belasartes,ARTS_CRAFTS
Mbel,CONSUMER_PRODUCTS
Belle arti,ARTS_CRAFTS
Dermawan,LEGAL
Besksnring,BROADCASTING
Bezdrtov technologie,BROADCASTING
Biblioteksbranschen,EDUCATION
Biotecnologa,BIOTECHNOLOGY
Biotechnologia,BIOTECHNOLOGY
Biotechnologie,BIOTECHNOLOGY
Biotecnologia,BIOTECHNOLOGY
Biotecnologie,BIOTECHNOLOGY
Biotehnologie,BIOTECHNOLOGY
Bioteknologi,BIOTECHNOLOGY
Biyoteknoloji,BIOTECHNOLOGY
Bioteknikbranschen,BIOTECHNOLOGY
Bokfringsbranschen,MANUFACTURING
Allevamento,AGRICULTURE
Hodowla zwierzt,AGRICULTURE
Pres audiovizual,BROADCASTING
Media Penyiaran,BROADCASTING
Media radiotelevisivi,BROADCASTING
Makelaardij,SECURITIES_COMMODITY_EXCHANGES
Bromaterial und ausstattung,CONSULTING
Gda Maddeleri retimi,NEWSPAPER_PUBLISHERS
Construo,CONSTRUCTION
Bouw,CONSTRUCTION
Edilizia,CONSTRUCTION
Bouwmateriaal,CONSTRUCTION
Bahan Pembinaan,CONSTRUCTION
Baumaterialien,CONSTRUCTION
Byggematerialer,CONSTRUCTION
Byggmaterialbranschen,CONSTRUCTION
Materiais de construo,CONSTRUCTION
Material Bangunan,CONSTRUCTION
Materiales de construccin,CONSTRUCTION
Materiali edili,CONSTRUCTION
Materiay budowlane,CONSTRUCTION
Immobili commerciali,ENTREPRENEUR
Forniture aziendali,RETAIL_WHOLESALE
Bedriftsmateriell og utstyr,RETAIL_WHOLESALE
Bekalan dan Kelengkapan Perniagaan,RETAIL_WHOLESALE
Material y equipo de negocios,RETAIL_WHOLESALE
Virksomhedsforsyninger og udstyr,RETAIL_WHOLESALE
Kapita inwestycyjny,VENTURE_CAPITAL
Pasar Modal,VENTURE_CAPITAL
Pasaran Modal,VENTURE_CAPITAL
Kapitalmarkeder,VENTURE_CAPITAL
Marchs des capitaux,VENTURE_CAPITAL
Mercados de capital,VENTURE_CAPITAL
Mercati dei capitali,VENTURE_CAPITAL
Sermaye Piyasalar,VENTURE_CAPITAL
Kapitalmarknadsbranschen,VENTURE_CAPITAL
Automobil,AUTOMOTIVE
Mobil,AUTOMOTIVE
Bil og kjrety,AUTOMOTIVE
Santai Kembara Pelancongan,ENTERTAINMENT_LEISURE
Restauration collective,FOOD_BEVERAGE_TOBACCO
Ristorazione,FOOD_BEVERAGE_TOBACCO
Restaurangbranschen,FOOD_BEVERAGE_TOBACCO
Veeteelt,AGRICULTURE
Glas keramiek en beton,CONSTRUCTION
Sticl ceramic i beton,CONSTRUCTION
Glas keramik och betongbranschen,CONSTRUCTION
Glas Keramik Zement,CONSTRUCTION
Cristal cermica y hormign,CONSTRUCTION
Vidro cermica e concreto,CONSTRUCTION
Chemick prmysl,CHEMICAL
Indstria qumica,CHEMICAL
Bahan Kimia,CHEMICAL
Kemikalier,CHEMICAL
Kjemikalier,CHEMICAL
Productos qumicos,CHEMICAL
Kemikaliebranschen,CHEMICAL
Chemia,CHEMICAL
Chemie,CHEMICAL
Chimica,CHEMICAL
Chimie,CHEMICAL
Kimya,CHEMICAL
Cinema e filmes,MOTION_PICTURE_VIDEO
Cinematografia e film,MOTION_PICTURE_VIDEO
Cinematografie i film,MOTION_PICTURE_VIDEO
Kinematografia i film,MOTION_PICTURE_VIDEO
Burgerlijke en sociale organisatie,SERVICE
Kentsel ve Sosyal Kurumlar,SERVICE
Kommunale og sociale organisationer,SERVICE
Organizaii civice i sociale,SERVICE
Organizzazioni civiche e sociali,SERVICE
Ingeniera civil,CONSTRUCTION
Civiele techniek,CONSTRUCTION
Engenharia civil,CONSTRUCTION
Gnie civil,CONSTRUCTION
Ingegneria civile,CONSTRUCTION
Inginerie civil,CONSTRUCTION
Kejuruteraan Awam,CONSTRUCTION
Teknik Sipil,CONSTRUCTION
Scurit civile,SERVICE
Klr og mote,APPAREL_ACCESSORIES
Odzie i moda,APPAREL_ACCESSORIES
Giyim ve Moda,APPAREL_ACCESSORIES
Kleding en mode,APPAREL_ACCESSORIES
Bekleidung Mode,APPAREL_ACCESSORIES
Didikan Latihan Profesional,SERVICE
quipements collectifs,SERVICE
Nieruchomoci komercyjne,REAL_ESTATE
Erhvervsejendomme,REAL_ESTATE
Commercieel vastgoed,REAL_ESTATE
Gewerbeimmobilien,REAL_ESTATE
Komern nemovitosti,REAL_ESTATE
Bienes inmobiliarios comerciales,REAL_ESTATE
Hartanah Perdagangan,REAL_ESTATE
Immobilier commercial,REAL_ESTATE
Imobiliare comerciale,REAL_ESTATE
Kommersiella fastighetsbranschen,REAL_ESTATE
Ticari Gayri Menkul,REAL_ESTATE
Kommersiell eiendomshandel,REAL_ESTATE
Samfunns og sosialorganisering,SERVICE
Syarikat PenerbanganPenerbangan,SERVICE
Composio e reviso de textos,SERVICE
Comptabilit,SERVICE
Bilgisayar ve A Gvenlii,COMPUTER
Computer og netvrkssikkerhed,SOFTWARE
Computer en netwerkbeveiliging,SOFTWARE
Komputer dan Keamanan Jaringan,SOFTWARE
Siguran computer i reea,SOFTWARE
Dator och ntverksskerhetsbranschen,COMPUTER
Bilgisayar Donanm,COMPUTER
Bilgisayar Oyunlar,COMPUTER
Computerspellen,COMPUTER
Computerspiele,COMPUTER
Dataspill,COMPUTER
Game Komputer,COMPUTER
Gry komputerowe,COMPUTER
Jocuri pe computer,COMPUTER
Jogos de computador,COMPUTER
Permainan Komputer,COMPUTER
Datorspelsbranschen,COMPUTER
Bilgisayar Alar,COMPUTER
ComputerHardware,COMPUTER
Computerhardware,COMPUTER
Datamaskinvare,COMPUTER
Maskinvarubranschen,COMPUTER
Matriel informatique,COMPUTER
Perangkat Keras Komputer,COMPUTER
Perkakasan Komputer,COMPUTER
Sprzt komputerowy,COMPUTER
Computer Netzwerksicherheit,SOFTWARE
Keselamatan Komputer Rangkaian,SOFTWARE
Jaringan Komputer,COMPUTER
Perangkaian Komputer,COMPUTER
ComputerNetzwerke,COMPUTER
Computernetwerken,COMPUTER
Reele de calculatoare,COMPUTER
Reti informatiche,COMPUTER
Rseaux informatiques,COMPUTER
Sieci komputerowe,COMPUTER
Programas informticos,COMPUTER
Seguridad del ordenador y de las redes,SOFTWARE
ComputerSoftware,SOFTWARE
Computersoftware,SOFTWARE
Dataprogramvare,SOFTWARE
Logiciels informatiques,SOFTWARE
Perangkat Lunak Komputer,SOFTWARE
Perisian Komputer,SOFTWARE
Programvarubranschen,SOFTWARE
Bilgisayar Yazlm,SOFTWARE
Yar letkenler,ENTERTAINMENT_LEISURE
Resolucin de conflictos por terceras partes,LEGAL
Stavebnictv,CONSTRUCTION
Baugewerbe,CONSTRUCTION
Bygg og anlegg,CONSTRUCTION
Construccin,CONSTRUCTION
Konstruksi,CONSTRUCTION
Konstruktion,CONSTRUCTION
Hoch und Tiefbau,CONSTRUCTION
Construo de ferrovia,CONSTRUCTION
Budownictwo statkw,CONSTRUCTION
Forbruksvarer,CONSUMER_PRODUCTS
Consumentenelektronica,ELECTRONICS
Forbrukerelektronikk,ELECTRONICS
Artculos de consumo,CONSUMER_PRODUCTS
Produits lectroniques grand public,ELECTRONICS
Barangan Elektronik Pengguna,ELECTRONICS
Electrnica de consumo,ELECTRONICS
Elettronica di consumo,ELECTRONICS
Forbrugerelektronik,ELECTRONICS
Konsumentelektronikbranschen,ELECTRONICS
Unterhaltungselektronik,ELECTRONICS
Barang Konsumsi,CONSUMER_PRODUCTS
Barangan Pengguna,CONSUMER_PRODUCTS
Beni di consumo,CONSUMER_PRODUCTS
Bens de consumo,CONSUMER_PRODUCTS
Biens de consommation,CONSUMER_PRODUCTS
Bunuri de larg consum,CONSUMER_PRODUCTS
Consumptiegoederen,CONSUMER_PRODUCTS
Forbrugervarer,CONSUMER_PRODUCTS
Konsumentartikelbranschen,CONSUMER_PRODUCTS
Forbrugertjenester,SERVICE
Forbrukertjenester,SERVICE
Perkhidmatan Pengguna,SERVICE
Services aux consommateurs,SERVICE
Usugi konsumenckie,SERVICE
Verbraucherdienste,SERVICE
Jasa Konsumen,CONSUMER_PRODUCTS
Wadah Pemikir,ENTREPRENEUR
Tekstforfatning og redigering,NEWSPAPER_PUBLISHERS
Kozmetik,COSMETICS
Cosmetica,COSMETICS
Kosmetik,COSMETICS
Kosmetika,COSMETICS
Kosmetikk,COSMETICS
Kosmetyki,COSMETICS
Cosmtiques,COSMETICS
Curierat,CARGO_HANDLING
CorriereSpedizioni,CARGO_HANDLING
Kunstgewerbe,ARTS_CRAFTS
Ambachten,ARTS_CRAFTS
Artesana,ARTS_CRAFTS
Arti e mestieri,ARTS_CRAFTS
Atendimento ao consumidor,SERVICE
Klantenservice,SERVICE
Servicii clieni,SERVICE
Servicio al consumidor,SERVICE
Organizacin cvica y social,SERVICE
D kaynak kullanmOffshore,HUMAN_RESOURCES
Lattiero caseario,FOOD_BEVERAGE_TOBACCO
Mejeri,FOOD_BEVERAGE_TOBACCO
Milchwirtschaft,FOOD_BEVERAGE_TOBACCO
Zuivel,FOOD_BEVERAGE_TOBACCO
Meieriprodukter,FOOD_BEVERAGE_TOBACCO
Produk Susu,FOOD_BEVERAGE_TOBACCO
Produse lactate,FOOD_BEVERAGE_TOBACCO
Secteur laitier,FOOD_BEVERAGE_TOBACCO
Data og nettverkssikkerhet,COMPUTER
Datorntverksbranschen,COMPUTER
Forsvar og rumfart,DEFENSE
Obrana a vesmr,DEFENSE
Verteidigung Raumfahrt,DEFENSE
Defensie,DEFENSE
Difesa e spazio,DEFENSE
Forsvar og romfart,DEFENSE
Savunma ve Uzay,DEFENSE
Defesa e espao,DEFENSE
Dfense et espace,DEFENSE
Defensie ruimtevaart,DEFENSE
Pertahanan Angkasa,DEFENSE
Pertahanan Luar Angkasa,DEFENSE
Systemy obronne i badanie kosmosu,DEFENSE
Pengiriman PaketKargo,CARGO_HANDLING
PaketYk Teslimi,CARGO_HANDLING
Denktanks,DEFENSE
Departamento de defensa y del espacio exterior,DEFENSE
Depozite,BANKING
Desain,ARCHITECTURE_DESIGN
Diseo,ARCHITECTURE_DESIGN
Designbranschen,ARCHITECTURE_DESIGN
Projektowanie,ARCHITECTURE_DESIGN
Pembinaan,CONSTRUCTION
Sviluppo di programmi,CONSTRUCTION
Pembangunan Program,CONSTRUCTION
Pengembangan Program,CONSTRUCTION
Desenvolvimento de programas,CONSTRUCTION
Dezvoltare programe,CONSTRUCTION
Directie,CONSULTING
Rozvodn podniky,SERVICE
Dnce Kurulular,SERVICE
Dotacin y seleccin de personal,HUMAN_RESOURCES
Schne Knste,ARTS_CRAFTS
Organisation dvnements,ENTERTAINMENT_LEISURE
e Alma ve Ekip Kurma,HUMAN_RESOURCES
Comer,FOOD_BEVERAGE_TOBACCO
Ekologick sluby,ENERGY
Eczaclk,PHARMACEUTICALS
Yazm ve Dzenleme,NEWSPAPER_PUBLISHERS
Administration scolaire et universitaire,EDUCATION
Bildungsmanagement,EDUCATION
Manajemen Pendidikan,EDUCATION
Onderwijsmanagement,EDUCATION
Pengurusan Pendidikan,EDUCATION
Uddannelsesadministration,EDUCATION
Utbildningsadministrationsbranschen,EDUCATION
Utdanningsledelse,EDUCATION
Szkolnictwo podstawowerednie,EDUCATION
Educacin primariasecundaria,EDUCATION
Pendidikan UtamaSekunder,EDUCATION
Eitim Ynetimi,EDUCATION
Gesto educacional,EDUCATION
Gestin educativa,EDUCATION
egluga,SERVICE
Einlrningsbranschen,FINANCIAL_SERVICES
Manufactura elctricaelectrnica,ELECTRONICS
Elektrisk og elektronisk produksjon,ELECTRONICS
Produzione elettrica ed elettronica,ELECTRONICS
Productie elektrischeelektronische goederen,ELECTRONICS
Jeux lectroniques,ELECTRONICS
BarangBarang Elektronik,ELECTRONICS
Elektroniske medier,ELECTRONICS
Produtos eletrnicos,ELECTRONICS
Electronice,ELECTRONICS
Elektronikbranschen tillverkning,ELECTRONICS
Elektronika uytkowa,ELECTRONICS
ElektrikElektronik retimi,ELECTRONICS
ElektroElektronikHerstellung,ELECTRONICS
Elelektronikproduktion,ELECTRONICS
Manufatura de eletroeletrnicos,ELECTRONICS
Endstriyel Otomasyon,AUTOMOTIVE
Energieversorgung,ENERGY
Inynieria ldowa,MANUFACTURING
letme Malzeme Tedarii ve Ekipman,RETAIL_WHOLESALE
Divertisment,ENTERTAINMENT_LEISURE
Divertissements,ENTERTAINMENT_LEISURE
Entretenimento,ENTERTAINMENT_LEISURE
Entretenimiento,ENTERTAINMENT_LEISURE
Hiburan,ENTERTAINMENT_LEISURE
Intrattenimento,ENTERTAINMENT_LEISURE
Rozrywka,ENTERTAINMENT_LEISURE
Underholdning,ENTERTAINMENT_LEISURE
Unterhaltung,ENTERTAINMENT_LEISURE
Entreprenr,ENTREPRENUER
Environnement et nergies renouvelables,ENERGY
Ochrona rodowiska,ENERGY
evre Koruma Hizmetleri,ENERGY
Layanan Lingkungan,ENERGY
Servicii de mediu,ENERGY
Miljtjenester,ENERGY
Perkhidmatan Alam Sekitar,ENERGY
Servicios medioambientales,ENERGY
Servios ambientais,ENERGY
Servizi ambientali,ENERGY
Umweltdienste,ENERGY
EPembelajaran,EDUCATION
Erdl Energiewirtschaft,ENERGY
Gabinetes estratgicos,CONSUMER_PRODUCTS
Evenemangstjnstbranschen,ENTERTAINMENT_LEISURE
Arrangementstjenester,SERVICE
Etkinlik Hizmetleri,SERVICE
Layanan Acara,SERVICE
Servicios de eventos,SERVICE
Servizi per eventi,SERVICE
Veranstaltungsdienste,SERVICE
Pengaturcara Majlis,SERVICE
Evenementenservices,SERVICE
evrimii Medya,NEWSPAPER_PUBLISHERS
Execuo da lei,LEGAL
Organ wykonawczy,SERVICE
Funcii executive,SERVICE
Oficina ejecutiva,SERVICE
Pejabat Eksekutif,SERVICE
Ufficio esecutivo,SERVICE
Expertgruppsbranschen,CONSULTING
Externalisationdlocalisation,RETAIL_WHOLESALE
ExternalizareExtrateritorializare,RETAIL_WHOLESALE
Tekstylia,MANUFACTURING
Facilitetstjenester,SERVICE
quipements et services de loisirs,SERVICE
Strutture e servizi per le attivit ricreative,SERVICE
Instalaes e servios de recreao,SERVICE
quipements mdicaux,HEALTH_CARE
Facilitaire services,SERVICE
Servicios infraestructurales,SERVICE
Fasilitetstjenester,SERVICE
Tesis Hizmetleri,SERVICE
iftlik letme,AGRICULTURE
Farmakologibranschen,PHARMACEUTICALS
Pakaian Fesyen,APPAREL_ACCESSORIES
Pakaian Mode,APPAREL_ACCESSORIES
Fdevareproduktion,FOOD_BEVERAGE_TOBACCO
Spillefilm og andre film,MOTION_PICTURE_VIDEO
Kaca Seramik Konkrit,CONSTRUCTION
ffentlicher Dienst,SERVICE
Arti figurative,ARTS_CRAFTS
Filmindustrie,MOTION_PICTURE_VIDEO
Industrie cinmatographique,MOTION_PICTURE_VIDEO
Pelculas y cine,MOTION_PICTURE_VIDEO
Financile administratie,FINANCIAL_SERVICES
Finann sluby,FINANCIAL_SERVICES
Financile services,FINANCIAL_SERVICES
Finansal Hizmetler,FINANCIAL_SERVICES
Finansielle tjenester,FINANCIAL_SERVICES
Finanstjenester,FINANCIAL_SERVICES
